"user_id","firstly_chosen_group","associations","image","is_interested","lastly_chosen_group"
"138061640","upper_teeth+front","игрушка","шрифтовой логотип (то есть только название компании), гротескный шрифт, оранжевый цвет","нет","upper_teeth+front"
"358763582","soft_palate+back","С чем то китайскими","Чашка с развивающимся паром","да","soft_palate+back"
"362747599","upper_teeth+back","Что-то иностранное, новое, необычное","Минимализм, мягкие формы, споокойные цвета","да","upper_teeth+back"
"374853018","active_articulator+front","машины","что-то минималистичное","да","upper_teeth+front"
"404814319","active_articulator+back","Африка","Что-то с желтым и коричневым цветом","да","soft_palate+back"
"437812839","soft_palate+back","корм для животных","Должен выглядеть насыщенно и компактно","да","upper_teeth+back"
"463001428","upper_teeth+front","революционный товар первой необходимости","красный крест, острые формы","да","soft_palate+back"
"490107634","upper_teeth+back","света","солнышко и ясное небо","да","soft_palate+back"
"493831663","upper_teeth+back","Музыкальный инструмент","Они похожи на колотушки","нет","upper_teeth+front"
"683395329","upper_teeth+back","качество","яркий, минималистичный, стильный","да","upper_teeth+back"
"724081281","upper_teeth+front","зубы","минималистично, но содержательно, на синем фоне зуб","да","upper_teeth+front"
"732874568","soft_palate+back","с спортпитом","круглый логотип с двойной окантовкой и фирменным знаком","да","soft_palate+front"
"741441151","upper_teeth+back","тойота","милый с красивым шрифтом","да","active_articulator+front"
"784918324","upper_teeth+back","Богато","Четкие линии, контуры, 2д в один цвет","да","active_articulator+front"
"795743803","active_articulator+front","Мороженое","Мягкий полукруг","да","active_articulator+front"
"808305796","active_articulator+back","Еда","Круглый на бежевом фоне","да","active_articulator+back"
"869486386","active_articulator+back","Духи","Без понятия","нет","active_articulator+back"
"915501585","active_articulator+back","Мясо","Мясник","да","active_articulator+back"
"959865522","upper_teeth+front","Нейронная сеть","Листок дерева","да","upper_teeth+back"
"1117693843","upper_teeth+back","Крипта","Фиолетово-чёрная монета","да","upper_teeth+back"
"1186572851","active_articulator+back","С величием","Простой, запоминающийся, элегантный, ненавязчивый, узнаваемый","нет","active_articulator+back"
"1251811598","upper_teeth+front","Спорт","Ярко динамично","да","upper_teeth+back"
"1253314796","upper_teeth+back","Тут дано","Ярко,символично,красиво","да","active_articulator+back"
"1545615027","active_articulator+back","с энергией","ярко, но не слишком, что-то завораживающее и привлекающее внимание","да","upper_teeth+back"
"1572054159","active_articulator+back","Музыкальный инструмент","Яркая африканская маска","нет","upper_teeth+back"
"1804804255","upper_teeth+back","Путешествие","Поезд в Хогвартс","нет","soft_palate+front"
"2130580335","upper_teeth+back","Набор букв","Красно-синий","нет","upper_teeth+front"
"5241556357","soft_palate+back","Авокадо","Как зелёный авокадо","да","upper_teeth+back"
"5281150358","upper_teeth+back","Ветер","Круг,значек ветра,лес","да","upper_teeth+back"
"6255406422","soft_palate+back","Курага","Солнце и ветви зелени","да","upper_teeth+back"